Zona,CX,CY,CZ
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
Muro,4.51,-0.01,3.69
