LineID,CulvertGroup,LineField,SortField,CXm,Cym,CZBateam,CZClavem,CZEjem,Lengthm,Diameterm,River,Reach,RS,Connection,Barrel,
125,AlcSecundDer,63,0,1078731.19,1572867.72,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A63,
126,AlcSecundDer,63,1,1078671.93,1572851.64,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A64,
127,AlcSecundDer,64,0,1078731.77,1572865.58,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A64,
128,AlcSecundDer,64,1,1078672.51,1572849.50,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A65,
129,AlcSecundDer,65,0,1078732.35,1572863.45,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A65,
130,AlcSecundDer,65,1,1078673.09,1572847.37,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A66,
131,AlcSecundDer,66,0,1078732.93,1572861.31,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A66,
132,AlcSecundDer,66,1,1078673.67,1572845.23,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A67,
133,AlcSecundDer,67,0,1078733.51,1572859.17,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A67,
134,AlcSecundDer,67,1,1078674.25,1572843.09,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A68,
135,AlcSecundDer,68,0,1078734.09,1572857.03,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A68,
136,AlcSecundDer,68,1,1078674.83,1572840.96,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A69,
137,AlcSecundDer,69,0,1078734.67,1572854.90,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A69,
138,AlcSecundDer,69,1,1078675.41,1572838.82,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A70,
139,AlcSecundDer,70,0,1078735.25,1572852.76,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A70,
140,AlcSecundDer,70,1,1078675.99,1572836.68,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A71,
141,AlcSecundDer,71,0,1078735.83,1572850.62,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A71,
142,AlcSecundDer,71,1,1078676.57,1572834.54,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A72,
143,AlcSecundDer,72,0,1078736.41,1572848.49,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A72,
144,AlcSecundDer,72,1,1078677.15,1572832.41,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A73,
145,AlcSecundDer,73,0,1078736.99,1572846.35,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A73,
146,AlcSecundDer,73,1,1078677.73,1572830.27,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A74,
147,AlcSecundDer,74,0,1078737.57,1572844.21,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A74,
